"id","date","yday","species","plotGroup","locality","Status","Description Where Found","Notes","Building_side","paired"
60,2022-10-07,280,"Evening","Evening","1100 Main","Alive","In street ~4 ft from sidewalk",NA,"N","N"
61,2022-10-07,280,"Evening","Evening","Downtown KC","Alive","On ground against wall",NA,"E","N"
62,2022-10-07,280,"Evening","Evening","120 W 12th St","Alive","On ground in alley ~5ft from wall",NA,"E","N"
63,2022-10-07,280,"Evening","Evening","1100 Baltimore","Dead","Sidewalk",NA,"E","N"
64,2022-10-11,284,"Vespertilionidae","Others","Downtown KC","Dead","On ground against wall",NA,"E","N"
65,2022-10-11,284,"Big brown","Big brown","2300 McGee","Dead","On ground <1ft from wall",NA,"E","N"
66,2022-10-15,288,"Evening","Evening","1100 Walnut","Alive","On ground against sign by building",NA,"E","N"
67,2022-10-17,290,"Evening","Evening","120 W 12th St","Alive","On ground against wall","Overnight temps in 40s","W","N"
68,2022-10-25,298,"Evening","Evening","1101 Walnut","Alive","On ground against wall","Dirty, rained the previous night","S","N"
69,2022-11-12,316,"Big brown","Big brown","Downtown KC","Alive","On ceiling? In covered alley","9 ft from street, no trees, 19 g, sent to rehab","N","N"
70,2022-11-12,316,"Big brown","Big brown","1000 Walnut","Alive","On ground against wall","Ambient T 25F, 19 grams","N","N"
71,2022-11-12,316,"Big brown","Big brown","1201 Walnut","Alive","On ground against wall","Ambient T 25F, 16 grams","W","N"
72,2022-11-13,317,"Evening","Evening","1000 Main","Alive","On ground next to building","16 g, TA 27F, taken to rehab. Not injured","N","N"
73,2023-04-02,92,"Big brown","Big brown","1101 Walnut","Dead","In alley crushed by car",NA,"S","N"
74,2023-04-09,99,"Eastern Red","Eastern Red","1100 Main St.","Alive","On ground <1ft from wall","9 grams, taken to rehab; on the thin side maybe due to migration. Released after a few good meals",NA,"N"
75,2023-04-13,103,"Eastern Red","Eastern Red","1000 Walnut","Alive","On ground next to bench","Bat flew off right after photo was taken","E","N"
76,2023-04-13,103,"Eastern Red","Eastern Red","1100 Main","Alive","On ground ~2 ft from doors","Released in nearby city park shortly after photo taken. Flies well","E","N"
77,2023-05-08,128,"Evening","Evening","1201 Walnut","Alive","On ground against wall","12 grams","W","N"
78,2023-05-08,128,"Evening","Evening","1100 Main","Alive",NA,NA,"W","N"
79,2023-05-10,130,"Evening","Evening","1000 Walnut","Alive","On sidewalk",NA,NA,"N"
80,2023-05-12,132,"Eastern Red","Eastern Red","1101 Main","Alive","On ground ~2ft from wall","Lying on back clining to a stick, 16 grams","W","N"
81,2023-05-12,132,"Eastern Red","Eastern Red","1201 Walnut","Alive","On ground next to wall","13 grams","W","N"
82,2023-05-13,133,"Evening","Evening","1100 Main St","Alive","On ground against wall",NA,"E","N"
83,2023-10-06,279,"Evening","Evening","Downtown KC","Alive","On ground next to building","Ambient T<50F","W","N"
84,2023-10-06,279,"Big brown","Big brown","T-Mobile Center","Alive","On ground next to building","Ambient T<50F","E","N"
85,2023-10-06,279,"Big brown","Big brown","Downtown KC","Alive","In parking space next to vehicle",NA,"S","N"
86,2023-10-06,279,"Evening","Evening","Downtown KC","Alive","On sidewalk ~6 ft from building","Ambient T<50F","W","N"
87,2023-10-06,279,"Evening","Evening","1101 Main St","Alive","<1ft from light pole, ~3 ft from street",NA,"W","N"
