"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
232903359,"https://www.inaturalist.org/observations/232903359","","Myotis evotis","Long-eared Myotis","Flew into the garage and up into the stairwell. Got a decent pic then netted with a butterfly net and brought it down. It disentangled itself quickly and after flying in and out a couple times, flew out the garage door. Motion lights on the front of the garage attract flying insects at night and typically several bats can be observed swooping around. This year seems to be the exception, this is the first bat I've seen although the motion lights have been being set off by something when there are no people, pets or wildlife visible.","heritagepark","2024-07-30","CC-BY-NC","Vespertilionidae","USA","North America"
238570209,"https://www.inaturalist.org/observations/238570209","","Pipistrellus pipistrellus","Common Pipistrelle","Single Common Pipistrelle foraging above low-level down-lighting on Lifton Place.

On bat walk walking to St. George's Transect.

Survey started: 2005 (sunset)
Survey finished: 2141
Observation time: 2034

Weather: Warm
Damp (rainfall earlier in evening)
Mild with occasional light breeze (3-4 beaufort).
Floodlit space from surrounding buildings, low-level down-lighting impacting very low level activity, but foraging in tree line (above lights).


Identified by group led by West Yorkshire Bat Group representative using detectors and visual identification.
","leedsbiodiversity","2024-08-28","CC-BY-NC","Vespertilionidae","GBR","Europe"
239105471,"https://www.inaturalist.org/observations/239105471","","Vespertilionoidea","Vespertilionoid Bats","The bats started streaming out of the roost around 7:59pm (18 minutes after sunset) and continued through 8:06pm (they paused their take-off for a few minutes when a human apartment tenant came out onto the balcony and turned on a light).  We counted about 30 of them streaming out in total.

This is my attempt to take photos of them with an SLR camera.  They fly pretty fast; I was surprised to get anything in the frame.","bungelina","2024-08-31","CC-BY","","USA","North America"
240954529,"https://www.inaturalist.org/observations/240954529","","Lasionycteris noctivagans","Silver-haired Bat","Donâ€™t know why it was grounded. Window or building collision but a rehabber moved it onto a shirt where it was able to get vertical and it took off. Found at front entrance to Chrysler Hall, downtown Norfolk.","pescanlon2","45545","CC-BY-NC","Vespertilionidae","USA","North America"
241277927,"https://www.inaturalist.org/observations/241277927","","Lasiurus","Red Bats","May have hit large, nearby windows.","blissfulbufo","45538","CC-BY","Vespertilionidae","USA","North America"
241846391,"https://www.inaturalist.org/observations/241846391","","Lasiurus borealis","Eastern Red Bat","Pratt Street Pavilion, South side","kristen_a","45550","CC-BY-NC","Vespertilionidae","USA","North America"
242889017,"https://www.inaturalist.org/observations/242889017","","Eptesicus fuscus","Big Brown Bat","Rain must have grounded it. Properly handled and a colleague took it to a wildlife rehab center.","justin734","45555","CC-BY-NC","Vespertilionidae","CAN","North America"
242890981,"https://www.inaturalist.org/observations/242890981","","Lasionycteris noctivagans","Silver-haired Bat","Must have been grounded by the rain. Properly handled and a colleague delivered it to the wildlife rehab center.","justin734","45555","CC-BY-NC","Vespertilionidae","CAN","North America"
243075694,"https://www.inaturalist.org/observations/243075694","","Eptesicus","House Bats","","winature","45556","CC-BY-NC","Vespertilionidae","USA","North America"
244162451,"https://www.inaturalist.org/observations/244162451","","Lasionycteris noctivagans","Silver-haired Bat","","roachbait","2024-09-26","CC-BY-NC","Vespertilionidae","USA","North America"
244273831,"https://www.inaturalist.org/observations/244273831","","Lasiurus borealis","Eastern Red Bat","101 W Lombard, NE doors, window collision rescue","birddad","45562","CC-BY-NC","Vespertilionidae","USA","North America"
244512698,"https://www.inaturalist.org/observations/244512698","","Lasionycteris noctivagans","Silver-haired Bat","Properly handled and a colleague took it to the wildlife rehab center.","justin734","45563","CC-BY-NC","Vespertilionidae","CAN","North America"
245430724,"https://www.inaturalist.org/observations/245430724","","Lasionycteris noctivagans","Silver-haired Bat","","roachbait","2024-10-03","CC-BY-NC","Vespertilionidae","USA","North America"
245460617,"https://www.inaturalist.org/observations/245460617","","Nycticeius humeralis","Evening Bat","Unsure if live or dead and unfortunately I had nothing on me to pick it up or relocate it. I assume grounded from a window collision, against the windows of the River House Restaurant of the Bridgestone Tower.","brsp2","45568","CC-BY-NC","Vespertilionidae","USA","North America"
246187750,"https://www.inaturalist.org/observations/246187750","","Lasionycteris noctivagans","Silver-haired Bat","Found on the ground at the base of a tall (7 floor) building, not far from the window","pthendricks","45572","CC-BY-NC","Vespertilionidae","USA","North America"
246200437,"https://www.inaturalist.org/observations/246200437","","Lasiurus borealis","Eastern Red Bat","","sethvw","2024-10-07","CC-BY-NC","Vespertilionidae","USA","North America"
246605689,"https://www.inaturalist.org/observations/246605689","","Lasiurus borealis","Eastern Red Bat","Bat window collision science center rescue","jamieshipe","45575","CC-BY-NC","Vespertilionidae","USA","North America"
