month_start,n_effort,cell_id
2019-06-01,3678,283
2019-07-01,2995,283
2019-08-01,2639,283
2019-09-01,4289,283
2019-10-01,5114,283
2019-11-01,2658,283
2019-12-01,1887,283
2020-01-01,2704,283
2020-02-01,3465,283
2020-03-01,7253,283
2020-04-01,11528,283
2020-05-01,7360,283
2020-06-01,5710,283
2020-07-01,5966,283
2020-08-01,4712,283
2020-09-01,5863,283
2020-10-01,8314,283
2020-11-01,5533,283
2020-12-01,2794,283
2021-01-01,3639,283
2021-02-01,3605,283
2021-03-01,4669,283
2021-04-01,9240,283
2021-05-01,10766,283
2021-06-01,6814,283
2021-07-01,8303,283
2021-08-01,7989,283
2021-09-01,7961,283
2021-10-01,9671,283
2021-11-01,4764,283
2021-12-01,3355,283
2022-01-01,2704,283
2022-02-01,3007,283
2022-03-01,5623,283
2022-04-01,11977,283
2022-05-01,8867,283
2022-06-01,5381,283
2022-07-01,3533,283
2022-08-01,4385,283
2022-09-01,7461,283
2022-10-01,13080,283
2022-11-01,5740,283
2022-12-01,3200,283
2023-01-01,3699,283
2023-02-01,5914,283
2023-03-01,9377,283
2023-04-01,17211,283
2023-05-01,11802,283
2023-06-01,9182,283
2023-07-01,5786,283
2023-08-01,4676,283
2023-09-01,8027,283
2023-10-01,8587,283
2023-11-01,6722,283
2023-12-01,5120,283
2024-01-01,4974,283
2024-02-01,8122,283
2024-03-01,13239,283
2024-04-01,41478,283
2024-05-01,13786,283
2024-06-01,8417,283
2024-07-01,7152,283
2024-08-01,7892,283
2024-09-01,10904,283
2024-10-01,13280,283
2024-11-01,8416,283
2024-12-01,5522,283
2025-01-01,4445,283
2025-02-01,7593,283
2025-03-01,14642,283
2025-04-01,50072,283
2025-05-01,15818,283
2025-06-01,10264,283
2025-07-01,12434,283
2025-08-01,9466,283
2025-09-01,12370,283
2025-10-01,17661,283
2025-11-01,9556,283
2025-12-01,6457,283
2019-01-01,1168,284
2019-02-01,1080,284
2019-03-01,1701,284
2019-04-01,2319,284
2019-05-01,2161,284
2019-06-01,1636,284
2019-07-01,1971,284
2019-08-01,1198,284
2019-09-01,1403,284
2019-10-01,1666,284
2019-11-01,1680,284
2019-12-01,1459,284
2020-01-01,1229,284
2020-02-01,1705,284
2020-03-01,2879,284
2020-04-01,4231,284
2020-05-01,3063,284
2020-06-01,2621,284
2020-07-01,2540,284
2020-08-01,1757,284
2020-09-01,2094,284
2020-10-01,3064,284
2020-11-01,3030,284
2020-12-01,1645,284
2021-01-01,2224,284
2021-02-01,1494,284
2021-03-01,2607,284
2021-04-01,3342,284
2021-05-01,4174,284
2021-06-01,3038,284
2021-07-01,4643,284
2021-08-01,3309,284
2021-09-01,3227,284
2021-10-01,2819,284
2021-11-01,2844,284
2021-12-01,2537,284
2022-01-01,2232,284
2022-02-01,1747,284
2022-03-01,4106,284
2022-04-01,4579,284
2022-05-01,4706,284
2022-06-01,3258,284
2022-07-01,2550,284
2022-08-01,2206,284
2022-09-01,4364,284
2022-10-01,6467,284
2022-11-01,3455,284
2022-12-01,2072,284
2023-01-01,2545,284
2023-02-01,2736,284
2023-03-01,4265,284
2023-04-01,5218,284
2023-05-01,9240,284
2023-06-01,4132,284
2023-07-01,3185,284
2023-08-01,2587,284
2023-09-01,2232,284
2023-10-01,3367,284
2023-11-01,3125,284
2023-12-01,4025,284
2024-01-01,2698,284
2024-02-01,2962,284
2024-03-01,6818,284
2024-04-01,9106,284
2024-05-01,5727,284
2024-06-01,4106,284
2024-07-01,3812,284
2024-08-01,3709,284
2024-09-01,4190,284
2024-10-01,8675,284
2024-11-01,3018,284
2024-12-01,3229,284
2025-01-01,2387,284
2025-02-01,2822,284
2025-03-01,6314,284
2025-04-01,7931,284
2025-05-01,5958,284
2025-06-01,4177,284
2025-07-01,6724,284
2025-08-01,4046,284
2025-09-01,3791,284
2025-10-01,5994,284
2025-11-01,4363,284
2025-12-01,3165,284
2019-01-01,2903,285
2019-02-01,2197,285
2019-03-01,4157,285
2019-04-01,14821,285
2019-05-01,6939,285
2019-06-01,6165,285
2019-07-01,6330,285
2019-08-01,5071,285
2019-09-01,5407,285
2019-10-01,6549,285
2019-11-01,4684,285
2019-12-01,3744,285
2020-01-01,3084,285
2020-02-01,3333,285
2020-03-01,7454,285
2020-04-01,16728,285
2020-05-01,11197,285
2020-06-01,7085,285
2020-07-01,7046,285
2020-08-01,8351,285
2020-09-01,8168,285
2020-10-01,8284,285
2020-11-01,4892,285
2020-12-01,3696,285
2021-01-01,4433,285
2021-02-01,3917,285
2021-03-01,8100,285
2021-04-01,15404,285
2021-05-01,18542,285
2021-06-01,9058,285
2021-07-01,9108,285
2021-08-01,8710,285
2021-09-01,9130,285
2021-10-01,10570,285
2021-11-01,5150,285
2021-12-01,5010,285
2022-01-01,3900,285
2022-02-01,3658,285
2022-03-01,8048,285
2022-04-01,19645,285
2022-05-01,16540,285
2022-06-01,8348,285
2022-07-01,8393,285
2022-08-01,6332,285
2022-09-01,9158,285
2022-10-01,15557,285
2022-11-01,6691,285
2022-12-01,5324,285
2023-01-01,5127,285
2023-02-01,5664,285
2023-03-01,11459,285
2023-04-01,25566,285
2023-05-01,15580,285
2023-06-01,10278,285
2023-07-01,11610,285
2023-08-01,9666,285
2023-09-01,8623,285
2023-10-01,9855,285
2023-11-01,7438,285
2023-12-01,6455,285
2024-01-01,4739,285
2024-02-01,6642,285
2024-03-01,14942,285
2024-04-01,33749,285
2024-05-01,14861,285
2024-06-01,17351,285
2024-07-01,10427,285
2024-08-01,9781,285
2024-09-01,14685,285
2024-10-01,15049,285
2024-11-01,9336,285
2024-12-01,6324,285
2025-01-01,5797,285
2025-02-01,6597,285
2025-03-01,12838,285
2025-04-01,31659,285
2025-05-01,15830,285
2025-06-01,12706,285
2025-07-01,14465,285
2025-08-01,12748,285
2025-09-01,11627,285
2025-10-01,14669,285
2025-11-01,8932,285
2025-12-01,7759,285
2019-01-01,13,287
2019-02-01,28,287
2019-03-01,29,287
2019-04-01,93,287
2019-05-01,86,287
2019-06-01,151,287
2019-07-01,116,287
2019-08-01,104,287
2019-09-01,38,287
2019-10-01,39,287
2019-11-01,108,287
2019-12-01,40,287
2020-01-01,28,287
2020-02-01,52,287
2020-03-01,160,287
2020-04-01,208,287
2020-05-01,246,287
2020-06-01,185,287
2020-07-01,155,287
2020-08-01,164,287
2020-09-01,131,287
2020-10-01,125,287
2020-11-01,152,287
2020-12-01,102,287
2021-01-01,106,287
2021-02-01,62,287
2021-03-01,183,287
2021-04-01,225,287
2021-05-01,290,287
2021-06-01,583,287
2021-07-01,181,287
2021-08-01,135,287
2021-09-01,92,287
2021-10-01,105,287
2021-11-01,90,287
2021-12-01,79,287
2022-01-01,71,287
2022-02-01,99,287
2022-03-01,127,287
2022-04-01,265,287
2022-05-01,183,287
2022-06-01,332,287
2022-07-01,181,287
2022-08-01,399,287
2022-09-01,178,287
2022-10-01,220,287
2022-11-01,82,287
2022-12-01,87,287
2023-01-01,52,287
2023-02-01,161,287
2023-03-01,245,287
2023-04-01,226,287
2023-05-01,176,287
2023-06-01,207,287
2023-07-01,316,287
2023-08-01,123,287
2023-09-01,207,287
2023-10-01,140,287
2023-11-01,112,287
2023-12-01,97,287
2024-01-01,76,287
2024-02-01,63,287
2024-03-01,197,287
2024-04-01,190,287
2024-05-01,260,287
2024-06-01,213,287
2024-07-01,143,287
2024-08-01,165,287
2024-09-01,132,287
2024-10-01,116,287
2024-11-01,65,287
2024-12-01,74,287
2025-01-01,81,287
2025-02-01,107,287
2025-03-01,198,287
2025-04-01,284,287
2025-05-01,142,287
2025-06-01,220,287
2025-07-01,128,287
2025-08-01,312,287
2025-09-01,311,287
2025-10-01,219,287
2025-11-01,150,287
2025-12-01,109,287
2019-01-01,1867,291
2019-02-01,2926,291
2019-03-01,4912,291
2019-04-01,2995,291
2019-05-01,2960,291
2019-06-01,2664,291
2019-07-01,2254,291
2019-08-01,2369,291
2019-09-01,4134,291
2019-10-01,5542,291
2019-11-01,1949,291
2019-12-01,2266,291
2020-01-01,2440,291
2020-02-01,3073,291
2020-03-01,4910,291
2020-04-01,7998,291
2020-05-01,5073,291
2020-06-01,4353,291
2020-07-01,3809,291
2020-08-01,5139,291
2020-09-01,6228,291
2020-10-01,5511,291
2020-11-01,3971,291
2020-12-01,2925,291
2021-01-01,3195,291
2021-02-01,4352,291
2021-03-01,5603,291
2021-04-01,8099,291
2021-05-01,9195,291
2021-06-01,4572,291
2021-07-01,4867,291
2021-08-01,4644,291
2021-09-01,7152,291
2021-10-01,6454,291
2021-11-01,3659,291
2021-12-01,3647,291
2022-01-01,3553,291
2022-02-01,4245,291
2022-03-01,7954,291
2022-04-01,9460,291
2022-05-01,9495,291
2022-06-01,4946,291
2022-07-01,5307,291
2022-08-01,6478,291
2022-09-01,8610,291
2022-10-01,8521,291
2022-11-01,5465,291
2022-12-01,4236,291
2023-01-01,6349,291
2023-02-01,7134,291
2023-03-01,11818,291
2023-04-01,13881,291
2023-05-01,9754,291
2023-06-01,7040,291
2023-07-01,6183,291
2023-08-01,6130,291
2023-09-01,10450,291
2023-10-01,10516,291
2023-11-01,5456,291
2023-12-01,5472,291
2024-01-01,5258,291
2024-02-01,5252,291
2024-03-01,11598,291
2024-04-01,11125,291
2024-05-01,9816,291
2024-06-01,7005,291
2024-07-01,7442,291
2024-08-01,7437,291
2024-09-01,9748,291
2024-10-01,9362,291
2024-11-01,6949,291
2024-12-01,5816,291
2025-01-01,5331,291
2025-02-01,6862,291
2025-03-01,9929,291
2025-04-01,15974,291
2025-05-01,11327,291
2025-06-01,9014,291
2025-07-01,9231,291
2025-08-01,9859,291
2025-09-01,13795,291
2025-10-01,12379,291
2025-11-01,9343,291
2025-12-01,6961,291
2019-01-01,2781,292
2019-02-01,3163,292
2019-03-01,4747,292
2019-04-01,5160,292
2019-05-01,4081,292
2019-06-01,5075,292
2019-07-01,5125,292
2019-08-01,4824,292
2019-09-01,4509,292
2019-10-01,5216,292
2019-11-01,3815,292
2019-12-01,4826,292
2020-01-01,4213,292
2020-02-01,4393,292
2020-03-01,5021,292
2020-04-01,5431,292
2020-05-01,6122,292
2020-06-01,5078,292
2020-07-01,4586,292
2020-08-01,4700,292
2020-09-01,5256,292
2020-10-01,6868,292
2020-11-01,4713,292
2020-12-01,4212,292
2021-01-01,4758,292
2021-02-01,4929,292
2021-03-01,7114,292
2021-04-01,8996,292
2021-05-01,11198,292
2021-06-01,6504,292
2021-07-01,5693,292
2021-08-01,5607,292
2021-09-01,5874,292
2021-10-01,9240,292
2021-11-01,5815,292
2021-12-01,5839,292
2022-01-01,6610,292
2022-02-01,6806,292
2022-03-01,10964,292
2022-04-01,11591,292
2022-05-01,14092,292
2022-06-01,9270,292
2022-07-01,10290,292
2022-08-01,9976,292
2022-09-01,10335,292
2022-10-01,9214,292
2022-11-01,7417,292
2022-12-01,7344,292
2023-01-01,8943,292
2023-02-01,8302,292
2023-03-01,13856,292
2023-04-01,15038,292
2023-05-01,17588,292
2023-06-01,11322,292
2023-07-01,10459,292
2023-08-01,8358,292
2023-09-01,8901,292
2023-10-01,10016,292
2023-11-01,8640,292
